source,dest,connections
L. Legrand (155,Italy,45
D. Karagiannis (117,Italy,45
G. Rodighiero (4,Italy,45
21),Italy,45
A. Grazian (5),Italy,45
21),France,23
21),Spain,23
L. Legrand (155,Spain,23
A. Grazian (5),France,23
A. Grazian (5),Spain,23
D. Karagiannis (117,France,23
G. Rodighiero (4,Spain,23
G. Rodighiero (4,France,23
L. Legrand (155,France,23
D. Karagiannis (117,Spain,23
A. Grazian (5),UK,15
G. Rodighiero (4,UK,15
21),UK,15
L. Legrand (155,UK,15
D. Karagiannis (117,UK,15
21),CNRS,13
L. Legrand (155,CNRS,13
D. Karagiannis (117,CNRS,13
G. Rodighiero (4,CNRS,13
A. Grazian (5),CNRS,13
D. Karagiannis (117,USA,11
L. Legrand (155,USA,11
L. Legrand (155,Germany,11
21),Germany,11
21),USA,11
D. Karagiannis (117,Germany,11
G. Rodighiero (4,Germany,11
G. Rodighiero (4,USA,11
A. Grazian (5),USA,11
A. Grazian (5),Germany,11
G. Rodighiero (4,Switzerland,7
G. Rodighiero (4,Astronomy,7
A. Grazian (5),Astronomy,7
A. Grazian (5),Switzerland,7
21),32),7
21),Switzerland,7
21),Astronomy,7
L. Legrand (155,Switzerland,7
D. Karagiannis (117,Switzerland,7
D. Karagiannis (117,Astronomy,7
L. Legrand (155,Astronomy,7
21),The Netherlands,6
L. Legrand (155,Finland,6
21),Portugal,6
21),Finland,6
21),2),6
21),18,6
A. Grazian (5),2),6
D. Karagiannis (117,Finland,6
L. Legrand (155,The Netherlands,6
A. Grazian (5),Portugal,6
A. Grazian (5),The Netherlands,6
G. Rodighiero (4,Portugal,6
G. Rodighiero (4,The Netherlands,6
A. Grazian (5),Finland,6
G. Rodighiero (4,Finland,6
D. Karagiannis (117,The Netherlands,6
D. Karagiannis (117,Portugal,6
L. Legrand (155,Portugal,6
L. Legrand (155,s/n,5
D. Karagiannis (117,s/n,5
A. Grazian (5),62),5
A. Grazian (5),32),5
A. Grazian (5),s/n,5
A. Grazian (5),18,5
G. Rodighiero (4,s/n,5
21),62),5
21),s/n,5
21),30,5
A. Grazian (5),Department of Physics,4
A. Grazian (5),85748 Garching,4
A. Grazian (5),30,4
A. Grazian (5),29,4
A. Grazian (5),40129 Bologna,4
A. Grazian (5),Camino bajo del Castillo,4
A. Grazian (5),Urbanizacion Villafranca del Castillo,4
A. Grazian (5),Villanueva de la Ca\~nada,4
A. Grazian (5),28692 Madrid,4
A. Grazian (5),Pasadena,4
A. Grazian (5),Denmark,4
D. Karagiannis (117,40129 Bologna,4
D. Karagiannis (117,85748 Garching,4
D. Karagiannis (117,Denmark,4
D. Karagiannis (117,Pasadena,4
D. Karagiannis (117,Camino bajo del Castillo,4
D. Karagiannis (117,Urbanizacion Villafranca del Castillo,4
D. Karagiannis (117,Villanueva de la Ca\~nada,4
D. Karagiannis (117,28692 Madrid,4
D. Karagiannis (117,Department of Physics,4
G. Rodighiero (4,40129 Bologna,4
G. Rodighiero (4,Denmark,4
G. Rodighiero (4,Pasadena,4
G. Rodighiero (4,85748 Garching,4
G. Rodighiero (4,Department of Physics,4
G. Rodighiero (4,28692 Madrid,4
G. Rodighiero (4,Villanueva de la Ca\~nada,4
G. Rodighiero (4,Urbanizacion Villafranca del Castillo,4
G. Rodighiero (4,Camino bajo del Castillo,4
L. Legrand (155,Pasadena,4
L. Legrand (155,Denmark,4
L. Legrand (155,85748 Garching,4
L. Legrand (155,Department of Physics,4
L. Legrand (155,40129 Bologna,4
L. Legrand (155,Camino bajo del Castillo,4
L. Legrand (155,Urbanizacion Villafranca del Castillo,4
L. Legrand (155,28692 Madrid,4
L. Legrand (155,Villanueva de la Ca\~nada,4
21),Department of Physics,4
21),Pasadena,4
21),85748 Garching,4
21),40129 Bologna,4
21),28692 Madrid,4
21),Urbanizacion Villafranca del Castillo,4
