source,dest,weight,color,width
Harry Potter,Ronald Weasley,10448,,
Harry Potter,Hermione Granger,9019,,
Hermione Granger,Ronald Weasley,6593,,
Albus Dumbledore,Harry Potter,3870,,
Harry Potter,Rubeus Hagrid,2228,,
Harry Potter,Tom Riddle,2085,,
Harry Potter,Severus Snape,2010,,
Harry Potter,Sirius Black,1642,,
Draco Malfoy,Harry Potter,1306,,
Fred Weasley,George Weasley,1230,,
Ginevra Weasley,Harry Potter,1011,,
Harry Potter,Neville Longbottom,931,,
Hermione Granger,Rubeus Hagrid,873,,
Harry Potter,Remus Lupin,845,,
Harry Potter,Molly Weasley,801,,
Cho Chang,Harry Potter,777,,
Dolores Umbridge,Harry Potter,774,,
Albus Dumbledore,Tom Riddle,738,,
Ronald Weasley,Rubeus Hagrid,732,,
Fred Weasley,Harry Potter,728,,
Godric Gryffindor,Harry Potter,691,,
George Weasley,Harry Potter,687,,
Dobby,Harry Potter,680,,
Harry Potter,Minerva McGonagall,680,,
Ginevra Weasley,Ronald Weasley,573,,
Fred Weasley,Ronald Weasley,559,,
Albus Dumbledore,Severus Snape,554,,
Cedric Diggory,Harry Potter,544,,
Alastor Moody,Harry Potter,543,,
Harry Potter,Horace Slughorn,529,,
Harry Potter,Vernon Dursley,521,,
George Weasley,Ronald Weasley,469,,
Draco Malfoy,Ronald Weasley,467,,
Ginevra Weasley,Hermione Granger,404,,
Ronald Weasley,Severus Snape,385,,
Albus Dumbledore,Hermione Granger,384,,
Albus Dumbledore,Ronald Weasley,356,,
Molly Weasley,Ronald Weasley,323,,
Hermione Granger,Sirius Black,319,,
Ronald Weasley,Sirius Black,307,,
Neville Longbottom,Ronald Weasley,268,,
Hermione Granger,Severus Snape,262,,
Fred Weasley,Hermione Granger,262,,
Hermione Granger,Neville Longbottom,260,,
Draco Malfoy,Hermione Granger,256,,
Albus Dumbledore,Rubeus Hagrid,248,,
Severus Snape,Sirius Black,245,,
Dolores Umbridge,Hermione Granger,230,,
Minerva McGonagall,Ronald Weasley,230,,
Hermione Granger,Tom Riddle,228,,
Ronald Weasley,Tom Riddle,226,,
Draco Malfoy,Severus Snape,222,,
Albus Dumbledore,Sirius Black,214,,
Remus Lupin,Sirius Black,207,,
George Weasley,Hermione Granger,203,,
Albus Dumbledore,Draco Malfoy,195,,
Godric Gryffindor,Ronald Weasley,187,,
Remus Lupin,Severus Snape,185,,
Hermione Granger,Molly Weasley,177,,
Godric Gryffindor,Hermione Granger,166,,
Remus Lupin,Ronald Weasley,166,,
Albus Dumbledore,Minerva McGonagall,158,,
Hermione Granger,Remus Lupin,157,,
Fred Weasley,Ginevra Weasley,151,,
Ginevra Weasley,Neville Longbottom,150,,
George Weasley,Ginevra Weasley,135,,
Godric Gryffindor,Neville Longbottom,134,,
Hermione Granger,Minerva McGonagall,130,,
Alastor Moody,Albus Dumbledore,124,,
Cho Chang,Ronald Weasley,124,,
Albus Dumbledore,Horace Slughorn,119,,
Fred Weasley,Molly Weasley,113,,
Sirius Black,Tom Riddle,112,,
Severus Snape,Tom Riddle,109,,
Draco Malfoy,Rubeus Hagrid,102,,
Ginevra Weasley,Molly Weasley,100,,
Cho Chang,Hermione Granger,100,,
Horace Slughorn,Ronald Weasley,95,,
George Weasley,Molly Weasley,95,,
Dolores Umbridge,Ronald Weasley,90,,
Godric Gryffindor,Minerva McGonagall,89,,
Neville Longbottom,Severus Snape,87,,
Hermione Granger,Horace Slughorn,86,,
Molly Weasley,Sirius Black,84,,
Albus Dumbledore,Remus Lupin,82,,
Alastor Moody,Ronald Weasley,80,,
Albus Dumbledore,Dolores Umbridge,78,,
Minerva McGonagall,Rubeus Hagrid,77,,
Horace Slughorn,Tom Riddle,77,,
Rubeus Hagrid,Severus Snape,70,,
Albus Dumbledore,Molly Weasley,70,,
Dobby,Ronald Weasley,69,,
Molly Weasley,Remus Lupin,68,,
Rubeus Hagrid,Tom Riddle,67,,
Dolores Umbridge,Rubeus Hagrid,66,,
Minerva McGonagall,Severus Snape,63,,
Cedric Diggory,Cho Chang,62,,
Draco Malfoy,Neville Longbottom,61,,
Dolores Umbridge,Severus Snape,60,,
Alastor Moody,Hermione Granger,58,,
Neville Longbottom,Remus Lupin,58,,
Dobby,Hermione Granger,58,,
Draco Malfoy,Horace Slughorn,56,,
Ginevra Weasley,Tom Riddle,55,,
Dolores Umbridge,Minerva McGonagall,55,,
Albus Dumbledore,Cedric Diggory,50,,
Alastor Moody,Rubeus Hagrid,49,,
Molly Weasley,Rubeus Hagrid,47,,
Draco Malfoy,Ginevra Weasley,44,,
Albus Dumbledore,Vernon Dursley,43,,
Draco Malfoy,Fred Weasley,42,,
Draco Malfoy,George Weasley,42,,
Horace Slughorn,Rubeus Hagrid,40,,
Draco Malfoy,Minerva McGonagall,40,,
Alastor Moody,Severus Snape,39,,
Alastor Moody,Minerva McGonagall,36,,
Dolores Umbridge,Draco Malfoy,36,,
Dolores Umbridge,Sirius Black,35,,
Cedric Diggory,Ronald Weasley,35,,
Remus Lupin,Tom Riddle,34,,
Albus Dumbledore,Godric Gryffindor,33,,
