source,target,weight
Harry Potter,Ronald Weasley,10448
Harry Potter,Hermione Granger,9019
Hermione Granger,Ronald Weasley,6593
Albus Dumbledore,Harry Potter,3870
Harry Potter,Rubeus Hagrid,2228
Harry Potter,Tom Riddle,2085
Harry Potter,Severus Snape,2010
Harry Potter,Sirius Black,1642
Draco Malfoy,Harry Potter,1306
Hermione Granger,Rubeus Hagrid,873
Albus Dumbledore,Tom Riddle,738
Ronald Weasley,Rubeus Hagrid,732
Fred Weasley,Harry Potter,728
Fred Weasley,Ronald Weasley,559
Albus Dumbledore,Severus Snape,554
Draco Malfoy,Ronald Weasley,467
Ronald Weasley,Severus Snape,385
Albus Dumbledore,Hermione Granger,384
Albus Dumbledore,Ronald Weasley,356
Hermione Granger,Sirius Black,319
Ronald Weasley,Sirius Black,307
Hermione Granger,Severus Snape,262
Fred Weasley,Hermione Granger,262
Draco Malfoy,Hermione Granger,256
Albus Dumbledore,Rubeus Hagrid,248
Severus Snape,Sirius Black,245
Hermione Granger,Tom Riddle,228
Ronald Weasley,Tom Riddle,226
Draco Malfoy,Severus Snape,222
Albus Dumbledore,Sirius Black,214
Albus Dumbledore,Draco Malfoy,195
Sirius Black,Tom Riddle,112
Severus Snape,Tom Riddle,109
Draco Malfoy,Rubeus Hagrid,102
Rubeus Hagrid,Severus Snape,70
Rubeus Hagrid,Tom Riddle,67
Draco Malfoy,Fred Weasley,42
Rubeus Hagrid,Sirius Black,32
Draco Malfoy,Tom Riddle,25
Draco Malfoy,Sirius Black,25
Albus Dumbledore,Fred Weasley,24
Fred Weasley,Sirius Black,20
Fred Weasley,Rubeus Hagrid,20
Fred Weasley,Tom Riddle,9
Fred Weasley,Severus Snape,8
